DTSTAMP;DTSTART;DTEND;SUMMARY;LOCATION;DESCRIPTION;UID;CREATED;LAST-MODIFIED;SEQUENCE
20211207T100557Z;20211025T140000Z;20210928T100000Z;R114;G_007;RT1-TP A2;ADE60323032312d323032325354455449454e4e452d31343832382d302d34;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211203T140000Z;20210928T100000Z;SAE13;G_007;RT1-TP A2;ADE60323032312d323032325354455449454e4e452d31343832382d302d34;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211203T140000Z;20211209T110000Z;R104;G_007;RT1-TP A2;ADE60323032312d323032325354455449454e4e452d32373738302d302d36;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211207T130000Z;20211207T150000Z;R104;G_007;RT1-TP B2,CORBIER CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31343834382d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20210906T140000Z;20211207T150000Z;R104;G_016;RT1-TP A2,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31343834382d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20210906T140000Z;20211207T150000Z;course orientation BU;D_110;RT1-TP A2,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31343834382d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20210906T140000Z;20211019T160000Z;R107;D_110;RT1-TP A2,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31343834382d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211001T080000Z;20211214T110000Z;R107;D_110;RT1-TP A2,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31343834382d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211215T110000Z;20211214T110000Z;R107;D_110;RT1-TP A2,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d32303230332d302d39;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211215T110000Z;20211214T110000Z;R107;D_110;RT1-S1,S1_GIM,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d32303230332d302d39;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211215T110000Z;20211214T110000Z;R107;G_019;RT1-S1,S1_GIM,HEYRAUD CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31313237372d302d32;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211215T110000Z;20211214T110000Z;R103;G_019;RT1-S1,CHAMBERT CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31323137342d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211215T110000Z;20211118T110000Z;R103;D_024;RT1-TD A,NEJJAR NABIH;ADE60323032312d323032325354455449454e4e452d31323137342d302d30;19700101T000000Z;20211207T100557Z;2134139957
